source1_entity_id	candidate_entity_id
S1-700000172	S2-100000509
S1-700000172	S3-500000525
S1-700000173	S2-100000512
S1-700000173	S2-100000513
S1-700000174	S2-100000516
S1-700000174	S2-100000517
S1-700000175	S2-100000520
S1-700000175	S3-500000532
S1-700000176	S2-100000525
S1-700000176	S3-500000533
S1-700000177	S2-100000527
S1-700000178	S2-100000531
S1-700000178	S2-100000532
S1-700000179	S2-100000534
S1-700000180	S2-100000537
S1-700000181	S2-100000540
S1-700000182	S3-500000551
S1-700000183	S2-100000547
S1-700000184	S2-100000550
S1-700000185	S3-500000559
S1-700000186	S3-500000563
S1-700000186	S2-100000555
S1-700000187	S3-500000566
S1-700000187	S3-500000567
S1-700000188	S2-100000561
S1-700000189	S3-500000571
S1-700000190	S3-500000575
S1-700000191	S2-100000568
S1-700000192	S3-500000582
S1-700000192	S3-500000583
S1-700000193	S2-100000574
S1-700000193	S3-500000586
S1-700000194	S3-500000589
S1-700000194	S2-100000577
S1-700000195	S2-100000579
S1-700000195	S3-500000593
S1-700000196	S3-500000597
S1-700000196	S2-100000581
S1-700000197	S2-100000583
S1-700000197	S2-100000584
S1-700000198	S2-100000587
S1-700000198	S2-100000588
S1-700000199	S3-500000604
S1-700000200	S2-100000594
S1-700000201	S2-100000600
S1-700000202	S2-100000602
S1-700000202	S3-500000612
S1-700000203	S3-500000615
S1-700000203	S2-100000605
S1-700000204	S3-500000618
S1-700000205	S2-100000611
S1-700000206	S3-500000621
S1-700000207	S2-100000621
S1-700000207	S3-500000623
S1-700000208	S3-500000626
S1-700000209	S2-100000628
S1-700000209	S3-500000628
S1-700000210	S3-500000629
S1-700000211	S2-100000634
S1-700000212	S3-500000637
S1-700000213	S2-100000639
S1-700000213	S2-100000640
S1-700000214	S3-500000643
S1-700000214	S2-100000643
S1-700000215	S3-500000645
S1-700000216	S3-500000650
S1-700000216	S2-100000648
S1-700000217	S3-500000653
S1-700000217	S3-500000654
S1-700000218	S2-100000653
S1-700000218	S2-100000654
S1-700000219	S3-500000659
S1-700000220	S3-500000664
S1-700000221	S2-100000660
S1-700000222	S3-500000671
S1-700000222	S2-100000663
S1-700000223	S2-100000666
S1-700000224	S3-500000675
S1-700000225	S2-100000675
S1-700000226	S3-500000679
S1-700000227	S3-500000683
S1-700000227	S3-500000684
S1-700000228	S3-500000688
S1-700000228	S3-500000689
S1-700000229	S3-500000693
S1-700000229	S3-500000694
S1-700000230	S2-100000684
S1-700000230	S3-500000698
S1-700000231	S3-500000703
S1-700000231	S3-500000704
S1-700000232	S3-500000707
S1-700000232	S2-100000687
S1-700000233	S3-500000710
S1-700000233	S3-500000711
S1-700000234	S3-500000715
S1-700000234	S2-100000691
S1-700000235	S3-500000719
S1-700000235	S3-500000720
S1-700000236	S2-100000695
S1-700000237	S3-500000726
S1-700000238	S3-500000729
S1-700000238	S2-100000701
S1-700000239	S3-500000733
S1-700000239	S2-100000703
S1-700000240	S3-500000735
S1-700000240	S3-500000736
S1-700000241	S2-100000708
S1-700000242	S3-500000743
S1-700000243	S2-100000713
S1-700000243	S2-100000714
S1-700000244	S3-500000751
S1-700000244	S3-500000752
S1-700000245	S2-100000716
S1-700000245	S2-100000717
S1-700000246	S3-500000758
S1-700000247	S3-500000760
S1-700000248	S3-500000766
S1-700000249	S2-100000727
S1-700000250	S3-500000773
S1-700000250	S2-100000729
S1-700000251	S2-100000733
S1-700000251	S2-100000734
S1-700000252	S3-500000779
S1-700000253	S3-500000785
S1-700000254	S2-100000738
S1-700000254	S2-100000739
S1-700000255	S2-100000742
S1-700000256	S2-100000747
S1-700000257	S3-500000794
S1-700000257	S3-500000795
S1-700000258	S2-100000751
S1-700000259	S3-500000800
S1-700000260	S2-100000757
S1-700000260	S2-100000758
S1-700000261	S2-100000760
S1-700000261	S2-100000761
S1-700000262	S3-500000812
S1-700000263	S3-500000816
S1-700000264	S3-500000821
S1-700000265	S2-100000767
S1-700000266	S3-500000828
S1-700000267	S2-100000772
S1-700000267	S2-100000773
S1-700000268	S3-500000834
S1-700000269	S3-500000837
S1-700000270	S2-100000782
S1-700000270	S2-100000783
S1-700000271	S2-100000787
S1-700000272	S3-500000843
S1-700000273	S3-500000846
S1-700000273	S2-100000794
S1-700000274	S3-500000849
S1-700000274	S3-500000850
S1-700000275	S2-100000801
S1-700000276	S2-100000805
S1-700000276	S2-100000806
S1-700000277	S2-100000809
S1-700000277	S3-500000855
S1-700000278	S2-100000811
S1-700000279	S3-500000863
S1-700000280	S3-500000866
S1-700000281	S2-100000819
S1-700000281	S3-500000869
S1-700000282	S2-100000822
S1-700000283	S2-100000827
S1-700000284	S2-100000828
S1-700000284	S3-500000878
S1-700000285	S3-500000879
S1-700000285	S2-100000833
S1-700000286	S2-100000834
S1-700000286	S2-100000835
S1-700000287	S3-500000885
S1-700000288	S2-100000842
S1-700000288	S3-500000888
S1-700000289	S3-500000892
S1-700000290	S2-100000846
S1-700000290	S2-100000847
S1-700000291	S2-100000850
S1-700000291	S2-100000851
S1-700000292	S2-100000856
S1-700000293	S3-500000901
S1-700000293	S3-500000902
S1-700000294	S3-500000906
S1-700000295	S3-500000909
S1-700000296	S3-500000913
S1-700000297	S2-100000869
S1-700000298	S3-500000917
S1-700000298	S3-500000918
S1-700000299	S2-100000876
S1-700000299	S3-500000920
S1-700000300	S2-100000878
S1-700000301	S2-100000881
S1-700000301	S3-500000927
S1-700000302	S2-100000884
S1-700000302	S3-500000930
S1-700000303	S2-100000888
S1-700000303	S2-100000889
S1-700000304	S3-500000935
S1-700000305	S3-500000939
S1-700000305	S2-100000893
S1-700000306	S2-100000896
S1-700000306	S3-500000942
S1-700000307	S2-100000900
S1-700000308	S2-100000903
S1-700000309	S2-100000908
S1-700000309	S3-500000948
S1-700000310	S2-100000913
S1-700000310	S3-500000949
S1-700000311	S2-100000918
S1-700000311	S2-100000919
S1-700000312	S2-100000921
S1-700000312	S3-500000953
S1-700000313	S3-500000955
S1-700000313	S3-500000956
S1-700000314	S3-500000959
S1-700000315	S3-500000960
S1-700000315	S3-500000961
S1-700000316	S3-500000963
S1-700000316	S2-100000935
S1-700000317	S3-500000966
S1-700000318	S2-100000941
S1-700000318	S2-100000942
S1-700000319	S3-500000972
S1-700000320	S3-500000973
S1-700000321	S2-100000952
S1-700000321	S2-100000953
S1-700000322	S3-500000977
S1-700000322	S2-100000957
S1-700000323	S3-500000980
S1-700000323	S2-100000960
S1-700000324	S2-100000964
S1-700000325	S3-500000984
S1-700000326	S3-500000989
S1-700000326	S2-100000969
S1-700000327	S3-500000991
S1-700000328	S2-100000975
S1-700000329	S3-500000997
S1-700000330	S3-500001001
S1-700000331	S3-500001004
S1-700000332	S3-500001008
S1-700000333	S3-500001011
S1-700000333	S3-500001012
S1-700000334	S3-500001013
S1-700000335	S2-100000997
S1-700000335	S2-100000998
S1-700000336	S2-100001001
S1-700000337	S3-500001019
S1-700000337	S2-100001005
S1-700000338	S3-500001022
S1-700000338	S2-100001008
S1-700000339	S3-500001026
S1-700000339	S2-100001010
S1-700000340	S3-500001030
S1-700000340	S2-100001012
S1-700000341	S3-500001034
S1-700000342	S3-500001038
S1-700000342	S3-500001039
S1-700000343	S2-100001018
S1-700000343	S3-500001042
S1-700000344	S2-100001020
S1-700000345	S3-500001050
S1-700000345	S2-100001022
S1-700000346	S3-500001053
S1-700000346	S3-500001054
S1-700000347	S3-500001055
S1-700000347	S2-100001029
S1-700000348	S2-100001034
S1-700000349	S3-500001060
S1-700000349	S3-500001061
S1-700000350	S2-100001038
S1-700000350	S3-500001064
S1-700000351	S3-500001067
S1-700000351	S2-100001041
S1-700000352	S3-500001071
S1-700000353	S2-100001045
S1-700000353	S2-100001046
S1-700000354	S2-100001050
S1-700000354	S2-100001051
S1-700000355	S3-500001079
S1-700000356	S2-100001056
S1-700000357	S3-500001085
S1-700000357	S2-100001059
S1-700000358	S2-100001062
S1-700000358	S3-500001088
S1-700000359	S2-100001066
S1-700000359	S3-500001090
S1-700000360	S2-100001068
S1-700000361	S2-100001070
S1-700000361	S3-500001098
S1-700000362	S3-500001100
S1-700000363	S2-100001075
S1-700000364	S3-500001109
S1-700000365	S2-100001081
S1-700000366	S3-500001114
S1-700000367	S3-500001117
S1-700000368	S3-500001122
S1-700000368	S3-500001123
S1-700000369	S2-100001090
S1-700000370	S2-100001095
S1-700000371	S3-500001129
S1-700000372	S2-100001100
S1-700000372	S3-500001134
S1-700000373	S2-100001105
S1-700000373	S2-100001106
S1-700000374	S2-100001109
S1-700000375	S2-100001114
S1-700000375	S3-500001138
S1-700000376	S2-100001118
S1-700000377	S2-100001120
S1-700000378	S3-500001148
S1-700000378	S3-500001149
S1-700000379	S2-100001124
S1-700000379	S3-500001152
S1-700000380	S3-500001156
S1-700000381	S3-500001161
S1-700000382	S2-100001129
S1-700000382	S3-500001165
S1-700000383	S2-100001131
S1-700000383	S3-500001169
S1-700000384	S3-500001171
S1-700000384	S3-500001172
S1-700000385	S2-100001136
S1-700000386	S2-100001138
S1-700000386	S3-500001180
S1-700000387	S3-500001182
S1-700000388	S2-100001144
S1-700000389	S3-500001189
S1-700000390	S2-100001148
S1-700000390	S3-500001194
S1-700000391	S2-100001151
S1-700000392	S2-100001155
S1-700000393	S2-100001157
S1-700000393	S3-500001203
S1-700000394	S3-500001207
S1-700000394	S2-100001159
S1-700000395	S2-100001164
S1-700000396	S2-100001168
S1-700000397	S3-500001214
S1-700000397	S2-100001170
S1-700000398	S2-100001174
S1-700000398	S3-500001216
S1-700000399	S2-100001177
S1-700000399	S2-100001178
S1-700000400	S2-100001181
S1-700000400	S2-100001182
S1-700000401	S2-100001186
S1-700000402	S2-100001188
S1-700000403	S2-100001192
S1-700000403	S3-500001228
S1-700000404	S2-100001197
S1-700000405	S2-100001200
S1-700000405	S2-100001201
S1-700000406	S3-500001236
S1-700000407	S3-500001240
S1-700000408	S2-100001207
S1-700000409	S2-100001209
S1-700000410	S3-500001249
S1-700000411	S2-100001215
S1-700000411	S3-500001253
S1-700000412	S3-500001257
S1-700000412	S3-500001258
S1-700000413	S2-100001220
S1-700000413	S2-100001221
S1-700000414	S3-500001261
S1-700000414	S2-100001225
S1-700000415	S3-500001263
S1-700000415	S3-500001264
S1-700000416	S3-500001267
S1-700000416	S3-500001268
S1-700000417	S3-500001271
S1-700000418	S2-100001234
S1-700000419	S2-100001236
S1-700000419	S2-100001237
S1-700000420	S3-500001282
S1-700000420	S2-100001240
S1-700000421	S2-100001242
S1-700000422	S3-500001289
S1-700000422	S2-100001245
S1-700000423	S2-100001248
S1-700000423	S3-500001292
S1-700000424	S2-100001251
S1-700000425	S2-100001255
S1-700000426	S3-500001299
S1-700000427	S3-500001304
S1-700000428	S3-500001308
S1-700000428	S3-500001309
S1-700000429	S3-500001314
S1-700000429	S2-100001262
S1-700000430	S3-500001319
S1-700000431	S3-500001322
S1-700000431	S2-100001266
S1-700000432	S3-500001326
S1-700000432	S3-500001327
S1-700000433	S3-500001329
S1-700000433	S3-500001330
S1-700000434	S2-100001271
S1-700000434	S2-100001272
S1-700000435	S3-500001337
S1-700000436	S2-100001278
S1-700000437	S3-500001344
S1-700000438	S2-100001283
S1-700000438	S2-100001284
S1-700000439	S2-100001286
S1-700000440	S2-100001290
S1-700000441	S2-100001293
S1-700000441	S3-500001355
S1-700000442	S2-100001295
S1-700000443	S3-500001361
S1-700000443	S2-100001299
S1-700000444	S2-100001303
S1-700000444	S2-100001304
S1-700000445	S3-500001365
S1-700000445	S3-500001366
S1-700000446	S3-500001369
S1-700000446	S3-500001370
S1-700000447	S2-100001311
S1-700000448	S3-500001374
S1-700000448	S3-500001375
S1-700000449	S3-500001378
S1-700000449	S2-100001318
S1-700000450	S3-500001382
S1-700000451	S2-100001322
S1-700000451	S2-100001323
S1-700000452	S3-500001388
S1-700000452	S3-500001389
S1-700000453	S2-100001329
S1-700000453	S3-500001391
S1-700000454	S3-500001393
S1-700000454	S3-500001394
S1-700000455	S3-500001396
S1-700000456	S2-100001337
S1-700000457	S3-500001402
S1-700000458	S2-100001344
S1-700000459	S3-500001409
S1-700000460	S2-100001349
S1-700000461	S3-500001417
S1-700000462	S2-100001354
S1-700000463	S3-500001421
S1-700000463	S3-500001422
S1-700000464	S2-100001362
S1-700000464	S2-100001363
S1-700000465	S3-500001427
S1-700000466	S3-500001432
S1-700000466	S3-500001433
S1-700000467	S2-100001368
S1-700000467	S3-500001436
S1-700000468	S2-100001370
S1-700000469	S3-500001442
S1-700000470	S3-500001444
S1-700000470	S2-100001378
S1-700000471	S3-500001448
S1-700000471	S3-500001449
S1-700000472	S3-500001453
S1-700000472	S3-500001454
S1-700000473	S2-100001383
S1-700000473	S3-500001457
S1-700000474	S2-100001388
S1-700000474	S2-100001389
S1-700000475	S3-500001459
S1-700000475	S2-100001393
S1-700000476	S3-500001462
S1-700000476	S3-500001463
S1-700000477	S2-100001398
S1-700000477	S2-100001399
S1-700000478	S3-500001469
S1-700000479	S3-500001475
S1-700000480	S3-500001478
S1-700000481	S3-500001482
S1-700000481	S3-500001483
S1-700000482	S3-500001485
S1-700000483	S2-100001413
S1-700000484	S2-100001416
S1-700000485	S3-500001493
S1-700000485	S3-500001494
S1-700000486	S3-500001498
S1-700000486	S2-100001420
S1-700000487	S2-100001422
S1-700000488	S2-100001425
S1-700000488	S2-100001426
S1-700000489	S3-500001508
S1-700000489	S2-100001428
S1-700000490	S3-500001511
S1-700000491	S2-100001433
S1-700000492	S3-500001517
S1-700000493	S2-100001441
S1-700000493	S3-500001519
S1-700000494	S2-100001445
S1-700000494	S3-500001521
S1-700000495	S3-500001525
S1-700000496	S2-100001450
S1-700000496	S2-100001451
S1-700000497	S2-100001454
S1-700000497	S3-500001530
S1-700000498	S2-100001457
S1-700000499	S2-100001461
S1-700000500	S2-100001464
S1-700000500	S3-500001538
S1-700000501	S3-500001542
S1-700000502	S3-500001547
S1-700000503	S2-100001468
S1-700000503	S3-500001552
S1-700000504	S2-100001470
S1-700000505	S2-100001474
S1-700000506	S3-500001561
S1-700000507	S2-100001478
S1-700000508	S2-100001482
S1-700000509	S2-100001487
S1-700000510	S2-100001491
S1-700000511	S3-500001575
S1-700000512	S3-500001577
S1-700000512	S3-500001578
S1-700000513	S3-500001580
S1-700000513	S3-500001581
S1-700000514	S2-100001503
S1-700000514	S3-500001583
S1-700000515	S3-500001586
S1-700000515	S3-500001587
S1-700000516	S2-100001506
S1-700000517	S2-100001510
S1-700000517	S3-500001594
S1-700000518	S3-500001597
S1-700000519	S2-100001516
S1-700000519	S3-500001600
S1-700000520	S2-100001519
S1-700000521	S2-100001523
S1-700000521	S3-500001605
S1-700000522	S3-500001608
S1-700000523	S3-500001611
S1-700000523	S3-500001612
S1-700000524	S2-100001533
S1-700000524	S2-100001534
S1-700000525	S2-100001536
S1-700000525	S2-100001537
S1-700000526	S2-100001539
S1-700000526	S3-500001619
S1-700000527	S3-500001621
S1-700000528	S2-100001545
S1-700000529	S3-500001627
S1-700000530	S2-100001551
S1-700000531	S2-100001555
S1-700000532	S3-500001635
S1-700000533	S2-100001560
S1-700000534	S2-100001565
S1-700000535	S2-100001570
S1-700000535	S3-500001642
S1-700000536	S2-100001574
S1-700000537	S2-100001579
S1-700000537	S2-100001580
S1-700000538	S2-100001584
S1-700000538	S2-100001585
S1-700000539	S3-500001648
S1-700000540	S3-500001652
S1-700000541	S3-500001654
S1-700000542	S3-500001657
S1-700000543	S2-100001602
S1-700000544	S2-100001607
S1-700000544	S2-100001608
S1-700000545	S3-500001661
S1-700000545	S3-500001662
S1-700000546	S3-500001666
S1-700000547	S3-500001669
S1-700000548	S3-500001673
S1-700000549	S3-500001677
S1-700000549	S3-500001678
S1-700000550	S3-500001679
S1-700000551	S3-500001680
S1-700000551	S3-500001681
S1-700000552	S2-100001631
S1-700000553	S3-500001685
S1-700000553	S2-100001635
S1-700000554	S2-100001638
S1-700000555	S2-100001643
S1-700000556	S2-100001647
S1-700000556	S3-500001691
S1-700000557	S2-100001649
S1-700000557	S2-100001650
S1-700000558	S2-100001654
S1-700000558	S2-100001655
S1-700000559	S3-500001697
S1-700000560	S2-100001662
S1-700000561	S2-100001665
S1-700000561	S2-100001666
S1-700000562	S2-100001668
S1-700000562	S3-500001706
S1-700000563	S3-500001710
S1-700000564	S2-100001674
S1-700000564	S3-500001712
S1-700000565	S2-100001678
S1-700000565	S2-100001679
S1-700000566	S2-100001682
S1-700000566	S2-100001683
S1-700000567	S3-500001718
S1-700000567	S2-100001686
S1-700000568	S2-100001689
S1-700000569	S3-500001723
S1-700000569	S3-500001724
S1-700000570	S3-500001728
S1-700000570	S2-100001694
S1-700000571	S3-500001733
S1-700000572	S2-100001696
S1-700000572	S2-100001697
S1-700000573	S3-500001741
S1-700000574	S2-100001701
S1-700000575	S3-500001748
S1-700000575	S3-500001749
S1-700000576	S3-500001752
S1-700000576	S3-500001753
S1-700000577	S2-100001706
S1-700000577	S3-500001758
S1-700000578	S2-100001711
S1-700000578	S3-500001759
S1-700000579	S3-500001762
S1-700000580	S3-500001765
S1-700000581	S2-100001720
S1-700000581	S2-100001721
S1-700000582	S2-100001725
S1-700000583	S3-500001773
S1-700000584	S3-500001777
S1-700000584	S2-100001729
S1-700000585	S2-100001733
S1-700000586	S2-100001737
S1-700000587	S2-100001741
S1-700000588	S2-100001745
S1-700000589	S2-100001748
S1-700000590	S2-100001751
S1-700000590	S2-100001752
S1-700000591	S3-500001791
S1-700000591	S2-100001757
S1-700000592	S3-500001794
S1-700000593	S3-500001795
S1-700000593	S2-100001765
S1-700000594	S3-500001797
S1-700000595	S2-100001771
S1-700000595	S3-500001801
S1-700000596	S2-100001775
S1-700000596	S2-100001776
S1-700000597	S3-500001806
S1-700000598	S2-100001781
S1-700000599	S2-100001782
S1-700000599	S3-500001814
S1-700000600	S2-100001784
S1-700000600	S3-500001818
S1-700000601	S2-100001789
S1-700000601	S2-100001790
S1-700000602	S2-100001792
S1-700000603	S2-100001797
S1-700000603	S3-500001823
S1-700000604	S3-500001825
S1-700000605	S3-500001827
S1-700000605	S2-100001805
S1-700000606	S3-500001831
S1-700000606	S3-500001832
S1-700000607	S3-500001835
S1-700000607	S2-100001809
S1-700000608	S3-500001840
S1-700000608	S2-100001810
S1-700000609	S2-100001812
S1-700000610	S2-100001815
S1-700000610	S2-100001816
S1-700000611	S2-100001820
S1-700000612	S2-100001824
S1-700000613	S3-500001853
S1-700000614	S3-500001856
S1-700000615	S3-500001861
S1-700000616	S2-100001833
S1-700000616	S2-100001834
S1-700000617	S2-100001838
S1-700000618	S3-500001869
S1-700000619	S3-500001872
S1-700000619	S3-500001873
S1-700000620	S3-500001877
S1-700000620	S2-100001845
S1-700000621	S2-100001847
S1-700000621	S3-500001881
S1-700000622	S3-500001885
S1-700000623	S2-100001854
S1-700000623	S2-100001855
S1-700000624	S3-500001890
S1-700000625	S2-100001858
S1-700000625	S3-500001894
S1-700000626	S2-100001860
S1-700000627	S2-100001864
S1-700000627	S3-500001900
S1-700000628	S2-100001868
S1-700000629	S3-500001905
S1-700000630	S2-100001873
S1-700000630	S2-100001874
S1-700000631	S2-100001877
S1-700000632	S3-500001913
S1-700000633	S2-100001885
S1-700000633	S3-500001915
S1-700000634	S2-100001887
S1-700000635	S3-500001923
S1-700000636	S3-500001926
S1-700000637	S3-500001930
S1-700000637	S2-100001894
S1-700000638	S2-100001896
S1-700000639	S3-500001936
S1-700000639	S2-100001900
S1-700000640	S2-100001903
S1-700000641	S2-100001908
S1-700000642	S2-100001912
S1-700000642	S3-500001942
S1-700000643	S2-100001916
S1-700000643	S3-500001944
S1-700000644	S2-100001918
S1-700000645	S3-500001952
S1-700000646	S2-100001923
S1-700000647	S3-500001956
S1-700000647	S3-500001957
S1-700000648	S3-500001962
S1-700000648	S2-100001928
S1-700000649	S3-500001966
S1-700000650	S2-100001934
S1-700000650	S2-100001935
S1-700000651	S2-100001938
S1-700000652	S2-100001942
S1-700000652	S2-100001943
S1-700000653	S3-500001972
S1-700000653	S3-500001973
S1-700000654	S2-100001949
S1-700000655	S2-100001954
S1-700000656	S2-100001958
S1-700000657	S2-100001963
S1-700000657	S2-100001964
S1-700000658	S3-500001983
S1-700000658	S3-500001984
S1-700000659	S2-100001968
S1-700000659	S3-500001988
S1-700000660	S3-500001992
S1-700000660	S3-500001993
S1-700000661	S2-100001972
S1-700000661	S2-100001973
S1-700000662	S2-100001975
S1-700000663	S3-500002003
S1-700000664	S3-500002007
S1-700000664	S3-500002008
S1-700000665	S3-500002011
S1-700000666	S3-500002015
S1-700000667	S2-100001985
S1-700000668	S2-100001989
S1-700000668	S2-100001990
S1-700000669	S2-100001993
S1-700000670	S2-100001996
S1-700000671	S3-500002027
S1-700000671	S3-500002028
S1-700000672	S2-100002002
S1-700000673	S2-100002006
